"distance.1","instensity.1","distance.A03_R2A_EVO","instensity.A03_R2A_EVO","distance.A03_R2A_T0","instensity.A03_R2A_T0","distance.A03_R2B_EVO","instensity.A03_R2B_EVO","distance.A03_R2B_T0","instensity.A03_R2B_T0","distance.A03_R2C_EVO","instensity.A03_R2C_EVO","distance.A03_R2C_T0","instensity.A03_R2C_T0","distance.A03_R3A_EVO","instensity.A03_R3A_EVO","distance.A03_R3A_T0","instensity.A03_R3A_T0","distance.A03_R3B_EVO","instensity.A03_R3B_EVO","distance.A03_R3B_T0","instensity.A03_R3B_T0","distance.A03_R3C_EVO","instensity.A03_R3C_EVO","distance.A03_R3C_T0","instensity.A03_R3C_T0","distance.A03_R4A_EVO","instensity.A03_R4A_EVO","distance.A03_R4B_EVO","instensity.A03_R4B_EVO","distance.A03_R4C_EVO","instensity.A03_R4C_EVO","distance.A03_R7A_T0","instensity.A03_R7A_T0","distance.A03_R7B_T0","instensity.A03_R7B_T0","distance.A03_R7C_T0","instensity.A03_R7C_T0","distance.A03_R8A_EVO","instensity.A03_R8A_EVO","distance.A03_R8A_T0","instensity.A03_R8A_T0","distance.A03_R8B_EVO","instensity.A03_R8B_EVO","distance.A03_R8B_T0","instensity.A03_R8B_T0","distance.A03_R8C_EVO","instensity.A03_R8C_EVO","distance.A03_R8C_T0","instensity.A03_R8C_T0","distance.A04_R3A_T0","instensity.A04_R3A_T0","distance.A04_R3B_T0","instensity.A04_R3B_T0","distance.A04_R3C_T0","instensity.A04_R3C_T0","distance.A04_R5A_T0","instensity.A04_R5A_T0","distance.A04_R5B_T0","instensity.A04_R5B_T0","distance.A04_R5C_T0","instensity.A04_R5C_T0","distance.A04_R6A_EVO","instensity.A04_R6A_EVO","distance.A04_R6A_T0","instensity.A04_R6A_T0","distance.A04_R6B_EVO","instensity.A04_R6B_EVO","distance.A04_R6B_T0","instensity.A04_R6B_T0","distance.A04_R6C_EVO","instensity.A04_R6C_EVO","distance.A04_R6C_T0","instensity.A04_R6C_T0","distance.A04_R7A_EVO","instensity.A04_R7A_EVO","distance.A04_R7A_T0","instensity.A04_R7A_T0","distance.A04_R7B_EVO","instensity.A04_R7B_EVO","distance.A04_R7B_T0","instensity.A04_R7B_T0","distance.A04_R7C_EVO","instensity.A04_R7C_EVO","distance.A04_R7C_T0","instensity.A04_R7C_T0","distance.A04_R8A_EVO","instensity.A04_R8A_EVO","distance.A04_R8B_EVO","instensity.A04_R8B_EVO","distance.A04_R8C_EVO","instensity.A04_R8C_EVO","distance.A04_R9A_EVO","instensity.A04_R9A_EVO","distance.A04_R9B_EVO","instensity.A04_R9B_EVO","distance.A04_R9C_EVO","instensity.A04_R9C_EVO","distance.A08_R10A_T0","instensity.A08_R10A_T0","distance.A08_R10B_T0","instensity.A08_R10B_T0","distance.A08_R10C_T0","instensity.A08_R10C_T0","distance.A08_R3A_EVO","instensity.A08_R3A_EVO","distance.A08_R3B_EVO","instensity.A08_R3B_EVO","distance.A08_R3C_EVO","instensity.A08_R3C_EVO","distance.A08_R4A_EVO","instensity.A08_R4A_EVO","distance.A08_R4B_EVO","instensity.A08_R4B_EVO","distance.A08_R4C_EVO","instensity.A08_R4C_EVO","distance.A08_R7A_EVO","instensity.A08_R7A_EVO","distance.A08_R7A_T0","instensity.A08_R7A_T0","distance.A08_R7B_EVO","instensity.A08_R7B_EVO","distance.A08_R7B_T0","instensity.A08_R7B_T0","distance.A08_R7C_EVO","instensity.A08_R7C_EVO","distance.A08_R7C_T0","instensity.A08_R7C_T0","distance.A08_R8A_EVO","instensity.A08_R8A_EVO","distance.A08_R8A_T0","instensity.A08_R8A_T0","distance.A08_R8B_EVO","instensity.A08_R8B_EVO","distance.A08_R8B_T0","instensity.A08_R8B_T0","distance.A08_R8C_EVO","instensity.A08_R8C_EVO","distance.A08_R8C_T0","instensity.A08_R8C_T0","distance.A08_R9A_T0","instensity.A08_R9A_T0","distance.A08_R9B_T0","instensity.A08_R9B_T0","distance.A08_R9C_T0","instensity.A08_R9C_T0","distance.A18_R1A_EVO","instensity.A18_R1A_EVO","distance.A18_R1B_EVO","instensity.A18_R1B_EVO","distance.A18_R1C_EVO","instensity.A18_R1C_EVO","distance.A18_R2A_EVO","instensity.A18_R2A_EVO","distance.A18_R2B_EVO","instensity.A18_R2B_EVO","distance.A18_R2C_EVO","instensity.A18_R2C_EVO","distance.A18_R3A_EVO","instensity.A18_R3A_EVO","distance.A18_R3B_EVO","instensity.A18_R3B_EVO","distance.A18_R3C_EVO","instensity.A18_R3C_EVO","distance.A18_R4A_EVO","instensity.A18_R4A_EVO","distance.A18_R4A_T0","instensity.A18_R4A_T0","distance.A18_R4B_EVO","instensity.A18_R4B_EVO","distance.A18_R4B_T0","instensity.A18_R4B_T0","distance.A18_R4C_EVO","instensity.A18_R4C_EVO","distance.A18_R4C_T0","instensity.A18_R4C_T0","distance.A18_R5A_T0","instensity.A18_R5A_T0","distance.A18_R5B_T0","instensity.A18_R5B_T0","distance.A18_R5C_T0","instensity.A18_R5C_T0","distance.A18_R7A_T0","instensity.A18_R7A_T0","distance.A18_R7B_T0","instensity.A18_R7B_T0","distance.A18_R7C_T0","instensity.A18_R7C_T0","distance.A18_R8A_T0","instensity.A18_R8A_T0","distance.A18_R8B_T0","instensity.A18_R8B_T0","distance.A18_R8C_T0","instensity.A18_R8C_T0"
30.411,10.069,30.342,144.167,30.342,146.278,30.55,106.181,30.55,127.208,30.342,135.292,30.481,142.583,30.55,127.639,30.55,146.25,30.411,121.958,30.621,147.931,30.481,105.958,30.621,109.736,30.411,84.514,30.273,131.597,30.136,113.514,30.411,135.625,30.342,137.361,30.481,129.486,30.411,95.806,30.55,149.861,30.411,91.403,30.411,116.139,30.481,83.792,30.411,125.167,30.411,160.014,30.481,172.319,30.411,153.361,30.481,152.889,30.621,165.361,30.55,129.611,30.411,161.194,30.55,174.042,30.342,160.042,30.481,158.181,30.481,163.583,30.411,162.5,30.342,148.819,30.342,168.194,30.481,151.931,30.411,167.833,30.342,145.625,30.411,164.319,30.621,144.347,30.55,120.431,30.481,114.264,30.273,131.25,30.411,93.75,30.342,151.903,30.411,126.889,30.481,146.167,30.342,139.167,30.481,113.903,30.411,122.167,30.342,127.444,30.411,125.125,30.411,132.958,30.273,119.347,30.481,150.306,30.273,176.625,30.481,103.917,30.481,147.958,30.411,129.083,30.481,170.597,30.342,147.236,30.481,134.917,30.481,149.472,30.481,148.125,30.342,133.167,30.411,148.403,30.481,137.056,30.342,152.875,30.481,163.069,30.55,134.208,30.342,148.347,30.481,138.653,30.481,101.917,30.411,130.625,30.411,136.472,30.481,163.361,30.411,137.639,30.55,116.444,30.481,161.847,30.481,125.083,30.55,164.819,30.411,158,30.55,143.361,30.481,119.486,30.342,141.014,30.411,106.889,30.481,126.208,30.411,127,30.273,133.778,30.411,125.028,30.411,165.361,30.411,143.931,30.481,144.431
30.502,9.847,30.433,155.181,30.433,148.444,30.642,103.181,30.642,128.264,30.433,136.708,30.572,152.014,30.642,137.792,30.642,151.347,30.502,125.833,30.713,141.292,30.572,94.306,30.713,113.944,30.502,86.194,30.364,132.583,30.226,116.875,30.502,136.833,30.433,144.417,30.572,119.653,30.502,96.889,30.642,152.181,30.502,99.167,30.502,121.625,30.572,89.417,30.502,124.736,30.502,174.236,30.572,170.569,30.502,155.319,30.572,171.028,30.713,162.458,30.642,124.528,30.502,155.875,30.642,172.5,30.433,156.069,30.572,151.556,30.572,168.611,30.502,168.75,30.433,161.042,30.433,164,30.572,157.736,30.502,177.736,30.433,145.625,30.502,159.694,30.713,134.778,30.642,115.611,30.572,111.847,30.364,136.056,30.502,90.847,30.433,157.361,30.502,138.847,30.572,154.278,30.433,138.222,30.572,113.5,30.502,132.5,30.433,120.486,30.502,130.694,30.502,140.319,30.364,121.958,30.572,146.764,30.364,170.806,30.572,104.847,30.572,152.764,30.502,140.625,30.572,159.653,30.433,143.458,30.572,127.028,30.572,149.792,30.572,148.736,30.433,133.222,30.502,153.125,30.572,143.278,30.433,152.236,30.572,152.042,30.642,135.875,30.433,150.694,30.572,150.875,30.572,108.278,30.502,129.125,30.502,132.528,30.572,159.167,30.502,133.097,30.642,118.278,30.572,167.181,30.572,122.764,30.642,161.181,30.502,158.653,30.642,138.208,30.572,119.208,30.433,146.292,30.502,109.417,30.572,125.681,30.502,122.5,30.364,138.319,30.502,119.514,30.502,168.569,30.502,139.875,30.572,138.25
30.594,9.528,30.524,149.931,30.524,139.236,30.734,94.542,30.734,131.083,30.524,145.208,30.664,162.208,30.734,133.486,30.734,153.972,30.594,131.833,30.805,141.264,30.664,92.278,30.805,117.181,30.594,81.708,30.455,125.514,30.317,116.611,30.594,136.625,30.524,157.472,30.664,122.042,30.594,100.611,30.734,148.736,30.594,103.208,30.594,125.5,30.664,99.583,30.594,127.528,30.594,185.542,30.664,166.597,30.594,163.069,30.664,187.861,30.805,159.528,30.734,126.556,30.594,154.667,30.734,177.444,30.524,153.167,30.664,153.5,30.664,170.403,30.594,163.986,30.524,173.5,30.524,160.722,30.664,159.653,30.594,177.722,30.524,153.236,30.594,156.236,30.805,125.167,30.734,110.167,30.664,112.556,30.455,137.75,30.594,92.944,30.524,157.306,30.594,147.667,30.664,153.278,30.524,134.917,30.664,114.764,30.594,136.333,30.524,116.986,30.594,141.5,30.594,139.778,30.455,129.528,30.664,126.514,30.455,163.319,30.664,109.194,30.664,160.639,30.594,149.722,30.664,146.069,30.524,142.653,30.664,132.264,30.664,145.375,30.664,141.514,30.524,132.153,30.594,163.514,30.664,148.417,30.524,151.903,30.664,147.431,30.734,145.542,30.524,164.847,30.664,163.097,30.664,110.875,30.594,127.153,30.594,125.667,30.664,156,30.594,136.75,30.734,120.5,30.664,171.528,30.664,127.583,30.734,150.875,30.594,147.764,30.734,131.528,30.664,127.681,30.524,149.722,30.594,113.319,30.664,131.028,30.594,122.681,30.455,139.472,30.594,120.847,30.594,163.806,30.594,140.681,30.664,137.403
30.685,9.486,30.615,139.861,30.615,132.306,30.826,95.389,30.826,133.125,30.615,152.903,30.755,157.722,30.826,122.958,30.826,162.028,30.685,131.25,30.897,144.083,30.755,91.278,30.897,128.014,30.685,82.028,30.545,120.208,30.407,114.806,30.685,127.986,30.615,163.958,30.755,130.736,30.685,96.792,30.826,146.986,30.685,98.972,30.685,128.736,30.755,109.583,30.685,132.764,30.685,187.778,30.755,155.222,30.685,162.861,30.755,186.444,30.897,166.833,30.826,138.611,30.685,159.583,30.826,183.806,30.615,152.597,30.755,152.583,30.755,175.097,30.685,157.347,30.615,177.764,30.615,154.056,30.755,155.778,30.685,162.403,30.615,158.958,30.685,152.514,30.897,123.014,30.826,111.111,30.755,117.208,30.545,130.014,30.685,95.111,30.615,151.833,30.685,151.083,30.755,144.056,30.615,139.097,30.755,111.792,30.685,137.125,30.615,131.306,30.685,156.056,30.685,125.972,30.545,136.403,30.755,116.056,30.545,158.306,30.755,114.875,30.755,159.792,30.685,146.458,30.755,142.861,30.615,145.069,30.755,143.028,30.755,135.514,30.755,146.556,30.615,133.5,30.685,166.236,30.755,145.514,30.615,158.014,30.755,150.444,30.826,163.278,30.615,170.306,30.755,160.806,30.755,112.347,30.685,130.375,30.685,122.736,30.755,146.319,30.685,146.653,30.826,125.583,30.755,174.361,30.755,131.042,30.826,155.167,30.685,137.556,30.826,131.222,30.755,132.347,30.615,147.056,30.685,114.333,30.755,140.056,30.685,126.972,30.545,140.792,30.685,116.708,30.685,162.431,30.685,145.444,30.755,153.194
30.776,10.292,30.706,137.083,30.706,131.333,30.917,94.958,30.917,138.292,30.706,144.708,30.847,145.833,30.917,118.528,30.917,162.889,30.776,120.431,30.989,141.375,30.847,91.708,30.989,127.236,30.776,90.042,30.636,121.278,30.498,122.236,30.776,126.972,30.706,151.694,30.847,141.194,30.776,91.361,30.917,148.472,30.776,97.014,30.776,135.5,30.847,107.75,30.776,128.403,30.776,182.264,30.847,144.444,30.776,156.444,30.847,172.597,30.989,174.819,30.917,142.944,30.776,160.153,30.917,176.861,30.706,153.181,30.847,146.944,30.847,186.194,30.776,156.194,30.706,172.778,30.706,145.569,30.847,150.667,30.776,149.278,30.706,155.931,30.776,158.681,30.989,124.583,30.917,114.694,30.847,124.569,30.636,125.458,30.776,103.222,30.706,142.486,30.776,158.139,30.847,136.431,30.706,145.681,30.847,112.972,30.776,134.111,30.706,146.708,30.776,155.847,30.776,120.708,30.636,134.417,30.847,115.653,30.636,171.208,30.847,110.458,30.847,161,30.776,127.542,30.847,146.361,30.706,153.042,30.847,150.5,30.847,135.5,30.847,149.361,30.706,136.125,30.776,164.597,30.847,141.486,30.706,169.486,30.847,160.028,30.917,167.486,30.706,167.528,30.847,146.861,30.847,126.722,30.776,135,30.776,117.653,30.847,144.917,30.776,144.389,30.917,130.028,30.847,173.486,30.847,133.708,30.917,165.194,30.776,139.472,30.917,133.653,30.847,126.833,30.706,136.875,30.776,119.056,30.847,142.875,30.776,135.056,30.636,146.792,30.776,125.222,30.776,169.819,30.776,141.472,30.847,168.861
30.868,9.889,30.797,142.944,30.797,131.903,31.009,95.236,31.009,142.819,30.797,143.319,30.938,142.347,31.009,121.125,31.009,160.097,30.868,112.667,31.08,133.681,30.938,98.236,31.08,115.833,30.868,99.083,30.727,124.514,30.588,120.903,30.868,124.597,30.797,140.306,30.938,142.472,30.868,94.333,31.009,152.028,30.868,93.569,30.868,139.694,30.938,107.278,30.868,113.958,30.868,165.5,30.938,146.486,30.868,148.028,30.938,165.097,31.08,175.611,31.009,141.375,30.868,167.597,31.009,163.069,30.797,153.736,30.938,149.083,30.938,192.042,30.868,168.903,30.797,170.764,30.797,140.958,30.938,149.486,30.868,148.319,30.797,157.292,30.868,169.25,31.08,126.292,31.009,113.444,30.938,120.681,30.727,122.222,30.868,108.181,30.797,134.125,30.868,160.375,30.938,135.639,30.797,144.306,30.938,115.5,30.868,133.556,30.797,147.097,30.868,149.819,30.868,128.542,30.727,134.639,30.938,119.347,30.727,180.486,30.938,108.611,30.938,158.194,30.868,117.125,30.938,148.278,30.797,163.389,30.938,150.306,30.938,136.764,30.938,149.403,30.797,136.014,30.868,160.222,30.938,134.431,30.797,173.181,30.938,173.181,31.009,158.681,30.797,164,30.938,133.042,30.938,140.972,30.868,134.042,30.868,118.361,30.938,141.806,30.868,145.347,31.009,129.681,30.938,179.611,30.938,138.542,31.009,169.722,30.868,146.458,31.009,142.208,30.938,125.806,30.797,132.722,30.868,118.375,30.938,135.694,30.868,137.639,30.727,144.306,30.868,129.667,30.868,165.194,30.868,134.694,30.938,168.139
30.959,10.194,30.888,142.014,30.888,132.958,31.101,98.736,31.101,141.389,30.888,143.472,31.03,146.667,31.101,123.292,31.101,159.042,30.959,114.681,31.172,130.5,31.03,107.875,31.172,112.167,30.959,105.278,30.818,121.083,30.679,113.764,30.959,128.764,30.888,126.417,31.03,142.139,30.959,97.361,31.101,149.861,30.959,92.153,30.959,135.208,31.03,101.653,30.959,108.306,30.959,161.972,31.03,146.556,30.959,153.903,31.03,169.806,31.172,166.819,31.101,138.806,30.959,172.667,31.101,164.486,30.888,158.361,31.03,154.125,31.03,188.583,30.959,169.597,30.888,170.736,30.888,134.833,31.03,146.014,30.959,146.792,30.888,156.097,30.959,172.681,31.172,122.125,31.101,104.833,31.03,123.028,30.818,120.347,30.959,112.181,30.888,128.861,30.959,155.681,31.03,132.472,30.888,138.5,31.03,122.819,30.959,131.014,30.888,150.347,30.959,143.319,30.959,139.181,30.818,136.361,31.03,119.181,30.818,181.694,31.03,113.833,31.03,154.764,30.959,114.333,31.03,147.333,30.888,162.167,31.03,151.444,31.03,139.097,31.03,150.292,30.888,136.819,30.959,166.528,31.03,124.444,30.888,170.931,31.03,180.236,31.101,154.611,30.888,163.069,31.03,138.764,31.03,149.375,30.959,126.403,30.959,121.264,31.03,140.319,30.959,146.486,31.101,130.014,31.03,180.361,31.03,147.194,31.101,174.806,30.959,155.097,31.101,144.917,31.03,130.375,30.888,142.083,30.959,118.833,31.03,131.264,30.959,135.458,30.818,129.806,30.959,136.042,30.959,157.264,30.959,128.917,31.03,155.639
31.05,11.167,30.979,136.083,30.979,139.264,31.193,105.819,31.193,128.097,30.979,142.431,31.121,149.514,31.193,131.903,31.193,151.194,31.05,121.806,31.264,140.722,31.121,117.75,31.264,110.236,31.05,108.278,30.909,115.667,30.769,116.958,31.05,135.472,30.979,118.375,31.121,143.944,31.05,96.778,31.193,163.25,31.05,91.167,31.05,127.319,31.121,94.736,31.05,125.444,31.05,161.403,31.121,143.028,31.05,154.375,31.121,177.931,31.264,152.486,31.193,138.875,31.05,176.069,31.193,170.944,30.979,167.056,31.121,153.819,31.121,176.625,31.05,154.153,30.979,175.389,30.979,133.139,31.121,145.597,31.05,153.167,30.979,154.764,31.05,176.139,31.264,122.278,31.193,99.208,31.121,128.208,30.909,122.889,31.05,109.347,30.979,121.833,31.05,149.486,31.121,127.069,30.979,139.278,31.121,121.681,31.05,133.347,30.979,143.014,31.05,132.972,31.05,142.069,30.909,133.764,31.121,121.556,30.909,182.583,31.121,124.333,31.121,152.208,31.05,116.889,31.121,142.958,30.979,157.639,31.121,135.681,31.121,142.972,31.121,150.056,30.979,133.306,31.05,174.111,31.121,131.986,30.979,162.819,31.121,183,31.193,152.819,30.979,157.278,31.121,147.514,31.121,155.847,31.05,118.097,31.05,125.792,31.121,144.833,31.05,142.583,31.193,141.514,31.121,182.847,31.121,154.5,31.193,168.833,31.05,157.528,31.193,145.25,31.121,130.5,30.979,154.347,31.05,119.486,31.121,124.694,31.05,126.403,30.909,121.986,31.05,139.861,31.05,155.014,31.05,134.014,31.121,154.514
31.142,9.792,31.071,133.569,31.071,149.819,31.284,120.625,31.284,119.625,31.071,143.681,31.213,144.542,31.284,132.181,31.284,144.056,31.142,126.278,31.356,151.167,31.213,115.194,31.356,111.444,31.142,108.181,31,116.5,30.86,128.139,31.142,140.278,31.071,124.361,31.213,155.528,31.142,102.347,31.284,168.722,31.142,89.292,31.142,127.333,31.213,97.028,31.142,142.5,31.142,157.903,31.213,147.153,31.142,159.069,31.213,179.528,31.356,146.972,31.284,138.056,31.142,172.361,31.284,177.611,31.071,173.736,31.213,155.417,31.213,164.319,31.142,152.194,31.071,178.514,31.071,137.444,31.213,148.167,31.142,154.264,31.071,156.208,31.142,175.292,31.356,127.861,31.284,97.583,31.213,125.694,31,123.708,31.142,112.194,31.071,120.361,31.142,145.889,31.213,123.431,31.071,144.806,31.213,114.069,31.142,133.625,31.071,134.847,31.142,126.958,31.142,134.875,31,133.625,31.213,137.694,31,184,31.213,132.889,31.213,154.958,31.142,122.222,31.213,140.306,31.071,163.569,31.213,133.472,31.213,153.111,31.213,154.889,31.071,126.722,31.142,171.611,31.213,140.361,31.071,157.472,31.213,173.319,31.284,156.694,31.071,154.375,31.213,160.931,31.213,159.181,31.142,116.903,31.142,133.431,31.213,143.944,31.142,144.806,31.284,146.375,31.213,170.597,31.213,163.778,31.284,157.125,31.142,149.667,31.284,142.875,31.213,129.528,31.071,165.847,31.142,117.931,31.213,119.028,31.142,116.444,31,120.014,31.142,151.222,31.142,159,31.142,129.556,31.213,166.375
31.233,8.528,31.162,129.972,31.162,158.958,31.376,124.347,31.376,119.014,31.162,152.486,31.304,146.611,31.376,136.375,31.376,148.667,31.233,126.25,31.448,162.431,31.304,104.708,31.448,117.153,31.233,98.306,31.091,123.194,30.95,138.25,31.233,133.431,31.162,124.958,31.304,162.569,31.233,107.667,31.376,165.319,31.233,96.889,31.233,137.764,31.304,90.861,31.233,152.222,31.233,144.889,31.304,154.486,31.233,165.444,31.304,179.208,31.448,147.653,31.376,134.292,31.233,166.125,31.376,171.569,31.162,171.431,31.304,160.819,31.304,151.167,31.233,156.056,31.162,178.361,31.162,146.611,31.304,150.097,31.233,154.931,31.162,168.722,31.233,174.208,31.448,141.75,31.376,106.528,31.304,121,31.091,126.722,31.233,105.792,31.162,122.958,31.233,150.889,31.304,127.861,31.162,145.292,31.304,112.986,31.233,132.222,31.162,129.514,31.233,133.264,31.233,124.014,31.091,143.528,31.304,146.431,31.091,188.431,31.304,129.806,31.304,153.736,31.233,132.236,31.304,146.806,31.162,167.75,31.304,138.458,31.304,159.833,31.304,162.5,31.162,112.736,31.233,165.708,31.304,144.639,31.162,147.083,31.304,167.208,31.376,155.375,31.162,159.167,31.304,165.222,31.304,156.986,31.233,122.514,31.233,141.389,31.304,137.806,31.233,141.278,31.376,157.194,31.304,158.569,31.304,162,31.376,144.319,31.233,143.611,31.376,144.403,31.304,124.458,31.162,159.514,31.233,113.097,31.304,124.611,31.233,101.861,31.091,118.653,31.233,156.306,31.233,161.653,31.233,125.625,31.304,175.708
31.324,8.917,31.253,127.833,31.253,158.333,31.468,124.083,31.468,125.861,31.253,153.153,31.396,153.042,31.468,133.167,31.468,148.542,31.324,131.208,31.54,162.5,31.396,93.861,31.54,126.194,31.324,93.5,31.182,127.056,31.041,144.097,31.324,123.333,31.253,134.111,31.396,155.569,31.324,103.708,31.468,159.833,31.324,102.556,31.324,143.403,31.396,88.472,31.324,151.722,31.324,134.583,31.396,152.889,31.324,168.819,31.396,170.722,31.54,152.639,31.468,132.111,31.324,156.458,31.468,161.611,31.253,172.722,31.396,150.736,31.396,146.5,31.324,145.833,31.253,176.319,31.253,158.708,31.396,145.569,31.324,162.639,31.253,177.944,31.324,173.917,31.54,142.806,31.468,116.681,31.396,116.389,31.182,138.306,31.324,96.792,31.253,135.097,31.324,149.931,31.396,138.333,31.253,135.722,31.396,111.611,31.324,135.556,31.253,126.236,31.324,135.25,31.324,105.431,31.182,147.042,31.396,133.514,31.182,191.167,31.396,122.639,31.396,155.514,31.324,132.444,31.396,154.125,31.253,167.875,31.396,149.292,31.396,161.875,31.396,166.181,31.253,114.125,31.324,159.806,31.396,144.083,31.253,150.931,31.396,161.458,31.468,159.556,31.253,164.694,31.396,158.486,31.396,151.611,31.324,124.625,31.324,143.778,31.396,140.75,31.324,135.944,31.468,168.389,31.396,153.847,31.396,155.361,31.468,135.153,31.324,141.958,31.468,152.056,31.396,119.347,31.253,154.222,31.324,116.236,31.396,134.431,31.324,105.028,31.182,123.472,31.324,152.139,31.324,160.639,31.324,130.514,31.396,170.069
31.416,8.792,31.344,126.681,31.344,152.347,31.56,119.458,31.56,138.708,31.344,146.403,31.487,158.486,31.56,128.792,31.56,149.778,31.416,132.111,31.632,155.292,31.487,88.625,31.632,139.764,31.416,101.097,31.273,128.833,31.131,146.653,31.416,119.778,31.344,148.806,31.487,148.361,31.416,94,31.56,154.25,31.416,98.028,31.416,147.014,31.487,92.569,31.416,146.417,31.416,134.278,31.487,157.389,31.416,170.694,31.487,164.764,31.632,157.181,31.56,131.111,31.416,151.347,31.56,156.194,31.344,174.958,31.487,152.625,31.487,140.514,31.416,138.792,31.344,171.389,31.344,163,31.487,144.889,31.416,172.361,31.344,184.153,31.416,177.069,31.632,144.431,31.56,126.083,31.487,115,31.273,148.361,31.416,92.528,31.344,146.764,31.416,152.653,31.487,147.653,31.344,134.625,31.487,110.667,31.416,141.764,31.344,125.986,31.416,132.806,31.416,103.042,31.273,154.667,31.487,125.903,31.273,189.236,31.487,120.847,31.487,163.125,31.416,131.542,31.487,159.944,31.344,173.097,31.487,156.5,31.487,155.986,31.487,163.542,31.344,120.111,31.416,157.944,31.487,137.875,31.344,154.486,31.487,155.667,31.56,151.236,31.344,166.944,31.487,153.375,31.487,146.194,31.416,136.375,31.416,153.653,31.487,143.861,31.416,135.194,31.56,161.181,31.487,155.306,31.487,156.278,31.56,139.306,31.416,143.681,31.56,159.792,31.487,121.264,31.344,147.986,31.416,119.806,31.487,139.597,31.416,109.306,31.273,125.278,31.416,145.958,31.416,162.708,31.416,143,31.487,161.708
31.507,8.944,31.435,126.819,31.435,148.056,31.651,110.264,31.651,145.292,31.435,140.486,31.579,164.181,31.651,125.819,31.651,154.986,31.507,138.042,31.724,156.167,31.579,85.958,31.724,152.014,31.507,108.597,31.364,126.611,31.222,134.708,31.507,119.194,31.435,154.639,31.579,143.931,31.507,77.306,31.651,154.375,31.507,91.056,31.507,140.792,31.579,96.708,31.507,137,31.507,142.708,31.579,152.972,31.507,176.625,31.579,163.431,31.724,169.944,31.651,135.931,31.507,145.653,31.651,157.361,31.435,179.222,31.579,160.167,31.579,137.486,31.507,143.028,31.435,165.389,31.435,172.444,31.579,141.333,31.507,164.556,31.435,185.139,31.507,177.208,31.724,141.931,31.651,123.486,31.579,118.208,31.364,149.722,31.507,97.931,31.435,145.389,31.507,156.111,31.579,133.319,31.435,136.194,31.579,111.861,31.507,145.389,31.435,130.625,31.507,135.569,31.507,107.889,31.364,158.306,31.579,126.806,31.364,181.417,31.579,120.708,31.579,170.806,31.507,129.167,31.579,148.653,31.435,169.028,31.579,150.847,31.579,152.681,31.579,156.639,31.435,122.569,31.507,161.903,31.579,132.625,31.435,152.264,31.579,160.514,31.651,141.722,31.435,164.111,31.579,145.444,31.579,143.819,31.507,146.569,31.507,160.694,31.579,147.069,31.507,132.194,31.651,156.472,31.579,151.569,31.579,152.069,31.651,139.944,31.507,144.403,31.651,159.569,31.579,129.583,31.435,148.403,31.507,124.458,31.579,141.111,31.507,112.639,31.364,126.181,31.507,145.333,31.507,165.264,31.507,147.681,31.579,152.333
31.598,8.847,31.526,127.444,31.526,150.194,31.743,102.208,31.743,146.722,31.526,143.194,31.67,157.833,31.743,123.403,31.743,169.903,31.598,133.278,31.816,161.403,31.67,90.181,31.816,151.319,31.598,121.694,31.455,121.778,31.312,117.75,31.598,122.264,31.526,162.361,31.67,149.958,31.598,68.333,31.743,155.278,31.598,86.444,31.598,143.264,31.67,98.236,31.598,126.944,31.598,153.181,31.67,147.056,31.598,176.472,31.67,159.486,31.816,173.042,31.743,139.986,31.598,147.153,31.743,150.986,31.526,177.097,31.67,162.639,31.67,142.528,31.598,160.472,31.526,166.514,31.526,174.833,31.67,139.889,31.598,155.486,31.526,183.111,31.598,170.333,31.816,144.528,31.743,125.778,31.67,129.25,31.455,143.389,31.598,106.542,31.526,148.931,31.598,155.653,31.67,122.903,31.526,138.444,31.67,114.125,31.598,143.389,31.526,139.375,31.598,138.778,31.598,111.486,31.455,162.819,31.67,128.847,31.455,169.931,31.67,124.931,31.67,164.472,31.598,124.833,31.67,138.861,31.526,159.264,31.67,146.764,31.67,148.236,31.67,151.194,31.526,138.194,31.598,159.444,31.67,138.25,31.526,152.944,31.67,167.583,31.743,134.625,31.526,159.292,31.67,144.917,31.67,138.875,31.598,151.292,31.598,164.986,31.67,157.778,31.598,132.083,31.743,155.986,31.67,151.222,31.67,148.764,31.743,143.931,31.598,137.778,31.743,155.778,31.67,136.569,31.526,149.694,31.598,125.931,31.67,148.583,31.598,108.764,31.455,126.403,31.598,147.681,31.598,160.306,31.598,143.5,31.67,148.167
